
2  49.96488300  007.28087500   1649   376  25    0.0 HAN  HAHN NDB
3  50.25046100  008.16251700   1343 11335 130    0.0 TAU  TAUNUS VORTAC
3  49.85023900  007.36957800   1453 00000   0    0.0 KIR  KIRN VORTAC
4  49.96103900  007.27609200   1595 10930  18      32.5 IHAE EDFH 03  ILS-cat-I
4  49.92870800  007.24421100   1648 11130  18     213.0 IHAW EDFH 21  ILS-cat-III
6  49.93582700  007.24925000   1650 10930  12  300032.5 IHAE EDFH 03  GS
6  49.95776000  007.27123200   1622 11130  12  300212.5 IHAW EDFH 21  GS
7  49.88475300  007.20020800   1649     0   0      32.5 ---- EDFH 03  OM
7  50.01307200  007.32748100   1649     0   0     212.5 ---- EDFH 21  OM
8  49.93071700  007.24536700   1649     0   0      32.5 ---- EDFH 03  MM
8  49.96488300  007.28087500   1649     0   0     212.5 ---- EDFH 21  MM
12  50.25046100  008.16251700   1343 11335 130    0.0 TAU  TAUNUS VORTAC
12  49.85023900  007.36957800   1453 00000   0    0.0 KIR  KIRN VORTAC
13  49.94556900  007.26766900   1716 11735  25    0.0 HND  HAHN DME
99
